OTU_ID,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8,Cd9,Cd10,Cd11,Cd12,Cd13,Cd14,Cd15,Cd16,Cd17,Cd18,Cd19,Cd20,Cd21,Cd22,Cd23,Cd24,Cd25,Cd26,Cd27,Cd28,Cd29,Cd30
OTU_1539,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1865,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1432,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1602,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
OTU_2096,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,4,5,0,2,0,0,0,0,0,5,10,1,0,2
OTU_935,0,0,0,0,0,0,5,0,0,1,0,0,0,0,8,3,1,1,3,1,0,1,2,1,2,0,1,0,0,0
OTU_821,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,3,4,6,3,0,0,0,0,0,1,3,3,0,0
OTU_1882,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1630,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
OTU_896,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,4,8,8,0,0,0,0,0,0,0,1,1,1,0
OTU_1420,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,4,0,2,2,0,2,0,0,2,2,2,3,0,2
OTU_764,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,1,23,6,0,0,0,0,0,0,1,0,5,0,1
OTU_337,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,5,6,6,14,0,0,0,0,1,0,2,5,4,3,5
OTU_1888,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1810,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,2,0,4,1,0,1,2,0,1,3,0,1,2,0
OTU_1134,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
OTU_1894,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,2,0,0,0,0,0
OTU_762,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
